"word","cluster","eigen_word"
"music","12","0.0889333435660741"
"song","9","0.094843203887426"
"minna","5","0.0102830937063836"
"school","4","0.0510848892363654"
"series","11","1"
"program","5","0.0353094534244687"
"girl","15","0.0984603742301714"
"featured","5","0.00935208916991765"
"childhood","17","0.00127025350353049"
"channel","12","0.000295182009924188"
"official","12","0.0141602789169753"
"film","11","0.235710214980584"
"boy","15","0.0826575851991655"
"middle","4","0.00729997590727743"
"animated","11","0.329486878587127"
"anime","11","0.811215072411803"
"council","8","0.00181794611050109"
"ducational","11","0.149604501231713"
"animation","2","0.107800993165052"
"human","13","0.00298901925592674"
"life","4","0.0285104645776137"
"edition","6","0.00933445654283387"
"elementary","4","0.00729997590727739"
"story","11","0.458974872784215"
"episode","6","0.797700753053982"
"directed","5","0.0343784488880028"
"based","11","0.410585592295669"
"character","3","0.0217526795239305"
"included","6","0.571592945127548"
"girls","4","0.0137728434012017"
"student","8","0.0124621191206469"
"bluray","6","0.27872177870621"
"war","18","0.00311911660469416"
"daily","4","0.00600733196049262"
"al","12","0.0127084794562656"
"dvd","6","0.460006050385789"
"set","14","0.074791837947473"
"day","4","0.0143008015597786"
"manga","11","0.307436667231327"
"save","1","0.00308085450688932"
"everyday","4","0.00600733196049264"
"begins","7","0.0670454351497987"
"cap","6","0.201932986905403"
"characters","3","0.0217526795239306"
"real","4","0.0070008256525011"
"original","11","0.381893071780134"
"bundled","6","0.447786463066802"
"falls","10","0.0108701890761514"
"drama","14","0.000182297847762539"
"centers","11","0.0655870172854426"
"promotional","5","0.150300213087714"
"safety","5","0.160108510190741"
"movie","11","0.0989498754011166"
"junior","4","0.00729997590727741"
"short","11","0.692446590101631"
"home","1","0.00779024578493098"
"adaptation","11","0.115921764199712"
"aired","6","0.438349230250143"
"game","5","0.0358585066912946"
"mobile","5","0.00523323296976907"
"episodes","6","0.615416824354362"
"baseball","17","0.0074587699437208"
"bluraydvd","6","0.138925768011265"
"book","14","0.00874507349192804"
"outer","17","0.000102652940987632"
"named","15","0.0289640197502156"
"love","10","0.0760690736499513"
"spend","17","0.000689022479067059"
"live","10","0.0117690639256308"
"college","8","0.00178082346255892"
"features","5","0.148369031339255"
"main","3","0.14911579713755"
"fantasy","13","0.00292671082846994"
"idol","4","0.00729997590727742"
"revolves","11","0.0655870172854426"
"beautiful","15","0.0153715159742131"
"days","17","0.00755266263444394"
"grail","18","0.000455009765578974"
"distant","14","0.0019860359807872"
"normal","4","0.0113740907313086"
"powers","13","0.0915803186209127"
"added","11","0.145877767087716"
"family","17","0.0012702535035305"
"fire","5","0.0228793344649253"
"affic","5","0.0228793344649252"
"band","9","0.00206404969150779"
"earth","1","0.000638439430330531"
"box","14","0.0505167168421552"
"click","18","0.145941185304284"
"franchise","9","0.0138355148065427"
"information","18","0.0030422573355668"
"motion","2","0.0157257681727559"
"card","5","0.00512414216474505"
"ova","6","0.206887133499866"
"fate","13","0.00292671082846995"
"friends","17","0.00870765661477882"
"irodorimidori","9","0.0138479426488222"
"close","17","0.00124431479537162"
"fall","10","0.0108701890761514"
"space","17","0.000718360469506924"
"action","10","0.00168178661816793"
"ii","18","0.000445718419020226"
"special","6","0.595736601159507"
"digital","13","0.00292671082846995"
"peace","13","0.00292671082846994"
"academy","4","0.00200915164181604"
"eye","15","0.00205248295839076"
"focuses","9","0.00197708023375023"
"mysterious","15","0.0194072382540384"
"specials","6","0.394517697690833"
"alien","13","6.23084274567884e-05"
"bddvd","6","0.0816800190932081"
"festival","11","0.0336827370320013"
"games","5","0.0343784488880028"
"ian","12","0.0127084794562656"
"journey","7","0.0102059398561429"
"magic","13","0.00292671082846995"
"magical","13","0.0320514466644348"
"tv","6","0.588984308017563"
"called","15","0.0147825955602248"
"change","4","0.00407411482403116"
"battle","16","0.0166286916370168"
"domination","13","0.00292671082846997"
"japanese","9","4.39427391388785e-05"
"kouji","11","0.0480648101329914"
"organization","15","0.00498753661392474"
"spends","17","0.00176828987283845"
"spirit","13","0.00292671082846998"
"album","6","0.0224180249234865"
"humans","10","0.0046084974466379"
"identity","10","0.00161947819071112"
"ago","17","0.000689022479067055"
"bonus","6","0.0816800190932082"
"boys","4","0.00926810046439017"
"continues","11","0.0655870172854426"
"embark","7","0.00145841786435602"
"entire","13","0.00292671082846997"
"feature","11","0.0336827370320013"
"future","14","0.0138981867045356"
