"","muestras"
"1",308
"2",1422
"3",7
"4",31670
"5",28957
"6",33028
"7",37964
"8",567
"9",4447
"10",23283
"11",1085
"12",15211
"13",40340
"14",40348
"15",202
"16",35815
"17",31599
"18",1109
"19",3457
"20",29437
"21",36625
"22",41595
"23",1364
"24",4917
"25",41564
"26",2901
"27",8331
"28",34103
"29",2704
"30",38410
"31",36762
"32",20787
"33",7598
"34",32827
"35",1366
"36",721
"37",9839
"38",29837
"39",40780
"40",570
"41",1740
"42",2181
"43",37441
"44",18989
"45",2171
"46",35921
"47",35901
"48",37994
"49",40405
"50",5348
"51",22677
"52",30066
"53",37687
"54",4522
"55",3614
"56",3000
"57",34511
"58",39567
"59",32005
"60",1365
"61",323
"62",35716
"63",9998
"64",33874
"65",2698
"66",8609
"67",593
"68",14345
"69",34607
"70",9829
"71",514
"72",4640
"73",1136
"74",36932
"75",44961
"76",12053
"77",22273
"78",2246
"79",12877
"80",108
"81",43299
"82",789
"83",35507
"84",27899
"85",42203
"86",36083
"87",1106
"88",134
"89",3091
"90",11981
"91",16762
"92",26
"93",12919
"94",1210
"95",37291
"96",40911
"97",37177
"98",978
"99",36245
"100",782
"101",29906
"102",32189
"103",19315
"104",5040
"105",4896
"106",875
"107",31280
"108",40333
"109",9662
"110",39290
"111",376
"112",35737
"113",3859
"114",934
"115",4672
"116",40046
"117",1966
"118",30091
"119",4725
"120",13171
"121",6773
"122",33103
"123",8146
"124",35049
"125",7980
"126",42454
"127",310
"128",47250
"129",279
"130",4188
"131",499
"132",3095
"133",30166
"134",2102
"135",793
"136",1866
"137",43629
"138",2983
"139",6880
"140",30915
"141",15117
"142",547
"143",9202
"144",14645
"145",38084
"146",1037
"147",8745
"148",18849
"149",37426
"150",16602
"151",613
"152",9290
"153",2486
"154",41124
"155",452
"156",2593
"157",33003
"158",45584
"159",35994
"160",3064
"161",33154
"162",48488
"163",41530
"164",4282
"165",34048
"166",12035
"167",21025
"168",35121
"169",36124
"170",23837
"171",37779
"172",41006
"173",32682
"174",14353
"175",28223
"176",5177
"177",41917
"178",37828
