"word","cluster"
"music","8"
"song","4"
"minna","9"
"school","13"
"series","3"
"program","9"
"girl","1"
"featured","9"
"childhood","14"
"channel","8"
"official","8"
"film","3"
"boy","1"
"middle","13"
"animated","3"
"anime","3"
"council","1"
"ducational","3"
"animation","18"
"human","7"
"life","13"
"edition","12"
"elementary","13"
"story","3"
"episode","12"
"directed","9"
"based","3"
"character","10"
"included","12"
"girls","13"
"student","1"
"bluray","12"
"war","6"
"daily","13"
"al","8"
"dvd","12"
"set","11"
"day","13"
"manga","3"
"save","17"
"everyday","13"
"begins","11"
"cap","12"
"characters","10"
"real","7"
"original","3"
"bundled","12"
"falls","5"
"drama","2"
"centers","3"
"promotional","9"
"safety","6"
"movie","3"
"junior","13"
"short","3"
"home","17"
"adaptation","3"
"aired","12"
"game","9"
"mobile","9"
"episodes","12"
"baseball","15"
"bluraydvd","12"
"book","2"
"outer","14"
"named","1"
"love","5"
"spend","14"
"live","5"
"college","1"
"features","9"
"main","10"
"fantasy","7"
"idol","13"
"revolves","3"
"beautiful","1"
"days","14"
"grail","6"
"distant","11"
"normal","13"
"powers","7"
"added","3"
"family","14"
"fire","6"
"affic","6"
"band","4"
"earth","17"
"box","11"
"click","16"
"franchise","4"
"information","16"
"motion","18"
"card","9"
"ova","12"
"fate","7"
"friends","14"
"irodorimidori","4"
"close","14"
"fall","5"
"space","14"
"action","5"
"ii","6"
"special","12"
"digital","7"
"peace","7"
"academy","13"
"eye","1"
"focuses","4"
"mysterious","1"
"specials","12"
"alien","7"
"bddvd","12"
"festival","3"
"games","9"
"ian","8"
"journey","11"
"magic","7"
"magical","7"
"tv","12"
"called","1"
"change","13"
"battle","6"
"domination","7"
"japanese","4"
"kouji","3"
"organization","1"
"spends","14"
"spirit","7"
"album","12"
"humans","5"
"identity","5"
"ago","14"
"bonus","12"
"boys","13"
"continues","3"
"embark","11"
"entire","7"
"feature","3"
"future","11"
"ordinary","13"
"people","7"
"basketball","15"
"boarding","13"
"cinderella","13"
"cute","1"
"death","13"
"films","3"
"travels","7"
"civil","6"
"dream","5"
"gundam","9"
"machine","14"
"nature","5"
"parallel","7"
"time","14"
"artist","3"
"conquer","7"
"embarks","11"
"humanity","17"
"soccer","15"
"adventure","11"
"attend","13"
"cat","1"
"club","13"
"events","3"
"fell","5"
"forever","13"
"spending","14"
"video","9"
"uta","9"
"nhks","9"
"friend","14"
"youtube","8"
"encyclopedia","3"
"website","8"
"world","7"
"limited","12"
"tells","3"
"site","8"
"unaired","12"
"takes","3"
"transfer","1"
"students","13"
"volume","12"
"release","12"
"picture","2"
"race","7"
"lives","1"
"traffic","6"
"stories","3"
"return","17"
"suit","9"
"peaceful","13"
"team","15"
"woman","1"
"president","1"
"videos","8"
"television","3"
"holy","6"
"supernatural","7"
"released","12"
"volumes","12"
"theme","4"
"synopsis","3"
"fictional","4"
"rock","4"
"planet","17"
"yearold","1"
"update","16"
"stop","18"
"puppet","18"
"featuring","10"
"federation","17"
"childrens","2"
"meets","1"
"strange","1"
"sets","11"
"true","5"
"twitter","8"
"version","12"
"final","6"
"traditional","4"
"nanke","3"
"peeping","13"
"power","1"
"secret","1"
"releases","12"
"nohara","14"
"makes","14"
"shorts","3"
"stopmotion","18"
"designs","10"
"returns","17"
"station","14"
"university","1"
"private","13"
"toei","18"
"protect","17"
"posted","8"
"commercial","3"
"independent","18"
"popular","3"
"fierce","6"
"recap","12"
