"","muestras"
"1",308
"2",1422
"3",7
"4",31670
"5",28957
"6",33028
"7",37964
"8",567
"9",4447
"10",23283
"11",1085
"12",41776
"13",35404
"14",4941
"15",202
"16",35815
"17",25983
"18",1109
"19",3457
"20",29437
"21",36625
"22",40908
"23",1364
"24",41224
"25",33149
"26",1742
"27",8331
"28",34103
"29",2704
"30",38410
"31",39766
"32",20787
"33",7598
"34",32827
"35",1366
"36",721
"37",33875
"38",1506
"39",33882
"40",6438
"41",32005
"42",1368
"43",365
"44",9737
"45",33874
"46",32301
"47",22677
"48",40405
"49",30714
"50",5997
"51",31630
"52",40762
"53",5348
"54",937
"55",54
"56",2014
"57",17843
"58",467
"59",14067
"60",1577
"61",33880
"62",916
"63",1795
"64",18989
"65",37441
"66",14075
"67",226
"68",32189
"69",2767
"70",37291
"71",41006
"72",28621
"73",2759
"74",33508
"75",23053
"76",38735
"77",20903
"78",440
"79",4715
"80",11977
"81",795
"82",7785
"83",2235
"84",7193
"85",2449
"86",30485
"87",3785
"88",25567
"89",35752
"90",4918
"91",35250
"92",634
"93",1494
"94",34966
"95",12133
"96",13303
"97",1981
"98",43325
"99",8663
"100",974
"101",23333
"102",29727
"103",19193
"104",4981
"105",12877
"106",4879
"107",31043
"108",36493
"109",37530
"110",3077
"111",37736
"112",31
"113",5918
"114",39584
"115",43767
"116",35458
"117",22297
"118",844
"119",5484
"120",9513
"121",304
"122",35220
"123",18723
"124",48425
"125",7592
"126",6712
"127",35049
"128",10713
"129",48483
"130",25015
"131",37437
"132",144
"133",675
"134",17245
"135",12907
"136",6773
"137",22053
"138",13993
"139",999
"140",489
"141",27833
"142",8728
"143",3710
"144",37675
"145",130
"146",41491
"147",13409
"148",1048
"149",11355
"150",39221
"151",595
"152",30028
"153",6114
"154",39905
"155",2593
"156",45584
"157",1943
"158",619
"159",323
"160",6637
"161",39833
"162",934
"163",16602
"164",32682
"165",20329
"166",37779
"167",28223
"168",41917
"169",37525
"170",38256
"171",47616
"172",19
"173",6610
"174",30484
"175",14353
"176",37994
"177",36124
"178",5205
